symbol,name,short_name,asset_type,portfolio_type,target_weight,tracked_index,avg_cost,shares_held,first_buy_date
022449,中证A500ETF联接C,中证A500ETF联接C,A,off_exchange,0.14,159338,1.1804,59301.93,2026-08-27
011613,科创50ETF华夏联接C,科创50ETF华夏联接C,A,off_exchange,0.065,588000,1.2891,25211.39,2026-08-27
012762,红利ETF联接C,红利ETF联接C,A,off_exchange,0.065,510880,1.1207,28999.73,2026-08-27
021458,恒生红利低波ETF联接C,恒生红利低波ETF联接C,A,off_exchange,0.04,159545,1.2063,16579.62,2026-08-27
019633,半导体设备ETF国泰联接C,半导体设备ETF国泰联接C,A,off_exchange,0.025,159516,2.6554,4707.39,2026-08-27
012782,创新药ETF银华联接C,创新药ETF银华联接C,A,off_exchange,0.04,159992,0.6961,28731.5,2026-08-27
027143,科创医药ETF华夏联接C,科创医药ETF华夏联接C,A,off_exchange,0.015,588130,0.9073,8266.28,2026-08-27
019671,港股创新药ETF广发联接C,港股创新药ETF广发联接C,A,off_exchange,0.025,513120,1.2162,10277.91,2026-08-27
007531,券商ETF华宝联接C,券商ETF华宝联接C,A,off_exchange,0.065,512000,1.5044,21603.3,2026-08-27
017141,有色ETF华宝联接C,有色ETF华宝联接C,A,off_exchange,0.025,159876,1.5282,8179.56,2026-08-27
012725,养殖ETF国泰联接C,养殖ETF国泰联接C,A,off_exchange,0.025,159865,0.6637,18833.81,2026-08-27
017482,电力ETF广发联接C,电力ETF广发联接C,A,off_exchange,0.035,159611,1.1857,14759.21,2026-08-27
025857,电网设备ETF华夏联接C,电网设备ETF华夏联接C,A,off_exchange,0.025,159326,1.1032,11330.67,2026-08-27
005693,军工ETF国泰联接C,军工ETF国泰联接C,A,off_exchange,0.025,512660,1.0612,11779.12,2026-08-27
000217,黄金ETF联接C,黄金ETF联接C,A,off_exchange,0.09,518880,2.98,15100.67,2026-08-27
